participantId,experimentId,segment_index,tab,start_ms,end_ms,duration_ms
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,10,reading,1766399483717.0,1766399497100.0,13383.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,11,chat,1766399497100.0,1766399497517.0,417.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,12,reading,1766399497517.0,1766399505551.0,8034.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,13,chat,1766399505551.0,1766399510201.0,4650.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,14,reading,1766399510201.0,1766399580702.0,70501.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,15,chat,1766399580702.0,1766399580800.0,98.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,16,reading,1766399580800.0,1766399580851.0,51.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,17,chat,1766399580851.0,1766399594384.0,13533.0
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,18,reading,1766399594384.0,1766399647804.0,53420.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,0,reading,1766425772950.0,1766425790142.0,17192.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,1,chat,1766425790142.0,1766425792187.0,2045.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,2,reading,1766425792187.0,1766425856066.0,63879.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,3,chat,1766425856066.0,1766425856370.0,304.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,4,reading,1766425856370.0,1766425860752.0,4382.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,5,chat,1766425860752.0,1766425860773.0,21.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,6,reading,1766425860773.0,1766426711499.0,850726.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,7,chat,1766426711499.0,1766426711569.0,70.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,8,reading,1766426711569.0,1766426711874.0,305.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,9,chat,1766426711874.0,1766426713384.0,1510.0
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,10,reading,1766426713384.0,1766427053861.0,340477.0
5bffcca24f73310001c5597a,kEfUmFTlshuKekkytl9k,0,reading,1766486935398.0,1766486943236.0,7838.0
5bffcca24f73310001c5597a,kEfUmFTlshuKekkytl9k,1,chat,1766486943236.0,1766486946728.0,3492.0
