participantId,experimentId,reading_id,totalEvents,duration,focusTime_reading,focusTime_chat,focusTime_video,focusTime_audio,focusTime_infographics,reading_count,reading_totalDuration,scanning_count,scanning_totalDuration,scrolling_count,scrolling_totalDuration
66845d64ef9123bc488e1242,RWdZPCMvhGpyIInBxadB,RWdZPCMvhGpyIInBxadB_reading,307,1579988,685923,734114,126860.0,18598.0,14449.0,18,432431,20,69143,212,64456
66857a5b6efcd1cf07b88707,Call5IOWFdawqkUsZHl8,Call5IOWFdawqkUsZHl8_reading,122,1453937,626911,570334,129976.0,104717.0,21983.0,24,570569,6,17062,32,16433
66881fbe723bc57d75a2c268,w4h9wyGG6dpS4RtOFSYD,w4h9wyGG6dpS4RtOFSYD_reading,20,1259235,846298,412935,0,0,0,7,777565,6,18406,17,17867
66882d9207bafe4863311ddc,YWnRuHAjmdQVRHGQnetp,YWnRuHAjmdQVRHGQnetp_reading,62,1380690,1380690,0,0,0,0,14,1169402,6,20783,38,15917
668d16ae27f1ad4461650742,PZR0djD5TiDLq9ymyfQp,PZR0djD5TiDLq9ymyfQp_reading,85,1311895,1263011,48874,0,0,0,24,1184608,7,23421,32,20706
668edb3b608a3d4537e2da08,21uiLaXDSBLnJY5nFvfN,21uiLaXDSBLnJY5nFvfN_reading,107,1460589,342326,1118250,0,0,0,14,223733,11,34492,50,35153
668eec6ed561b72c282fc11a,dWD3l9gGAW4TXIAsmFff,dWD3l9gGAW4TXIAsmFff_reading,126,1430066,230280,897607,130195.0,109578.0,62404.0,2,12918,9,28996,112,31599
669d6e67b980bf3846b82e8f,JePC5loumrAQdo0NVrq7,JePC5loumrAQdo0NVrq7_reading,104,1462917,1462916,0,0,0,0,28,1305330,14,47834,62,30675
669eba3ad8d7d49177bc50d0,ng7KNvlE35yMJEAusAwq,ng7KNvlE35yMJEAusAwq_reading,61,1281433,856331,425100,0,0,0,12,798453,5,16069,31,14835
669f1b414df434c089390389,UbRzyFdXrcTCKn4GHaV9,UbRzyFdXrcTCKn4GHaV9_reading,62,1841128,1841128,0,0,0,0,34,1683562,8,27080,39,22168
66a2741b8cc4486c4d2032d9,emZ2kUraFCHPW6u0gyns,emZ2kUraFCHPW6u0gyns_reading,252,1518885,991995,526657,0,0,0,36,1075836,17,47393,104,48068
66a819b2c3eb66cffc47e808,Oyx8k1JvCYTIFW7xm6KP,Oyx8k1JvCYTIFW7xm6KP_reading,84,1332325,1332325,0,0,0,0,24,1071830,9,30547,65,29797
66b2c7262f4631f5eea8e729,ngBXkyeBRlHNbFkeesiU,ngBXkyeBRlHNbFkeesiU_reading,133,1282649,630846,21642,269758.0,353582.0,6776.0,5,557281,12,32720,44,19840
66b8e8f12fa9160e4ca9f25b,CW9vXkNqFHh2osKM2dah,CW9vXkNqFHh2osKM2dah_reading,102,1342387,1267291,75082,0,0,0,38,1102251,12,37883,48,31684
