Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6945aa2f36f1e7a9ad2e6753,6630fd6fc70f45525e94c657,RETURNED,Not Applicable,2025-12-19T19:40:37.741000Z,,,,,,1509,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945aaf3fd1ca4577940a926,677489184e54abf6ee83d704,RETURNED,Not Applicable,,,,,,,1345,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945b004964a8015ec54ec1f,67854ba4bab6fc4b80eba268,RETURNED,Not Applicable,2025-12-19T20:05:37.078000Z,,,,,,1242,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945f318d994f8a1a8c5ed1c,659ab33c0a427599bec1b554,RETURNED,Not Applicable,2025-12-20T00:51:41.362000Z,,,,,,749,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6945f8872db159423126b972,664d8066db4407ac502a5979,TIMED-OUT,Not Applicable,2025-12-20T01:14:54.187000Z,,,,322090.0,,1711,40,Male,White,United States,United States,United States,English,Yes,Full-Time
6945fa86af16ffc1fbce0139,694166d8fbba9fe839ce462d,RETURNED,Not Applicable,,,,,,,32,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69460836428184698f879d8b,660a807bfd49ee4957fad189,RETURNED,Not Applicable,2025-12-20T02:21:48.606000Z,,,,,,289,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69460f862767f6e0dcbd6571,5d3700db048a4f001767b040,RETURNED,Not Applicable,2025-12-20T02:53:09.953000Z,,,,,,1502,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69461c9727847cd034acf622,6669a9dd31aed01f0969b063,RETURNED,Not Applicable,2025-12-20T03:48:43.575000Z,,,,,,1623,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6946449f633e484c488d4a0f,6704210322d878316ffc5b43,RETURNED,Not Applicable,2025-12-20T06:39:31.357000Z,,,,,,879,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
694675f48a2d98dc781b248c,66611f308ccb44ab7f21984e,RETURNED,Not Applicable,2025-12-20T10:19:14.353000Z,,,,,,887,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6946b0d75a57f3abcf937c21,674c6b54b3b66e7b924615c1,RETURNED,Not Applicable,2025-12-20T14:21:17.690000Z,,,,,,1657,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6946f1e82efda3ee4f414ef8,694379e0e3296fe2c9f107a2,RETURNED,Not Applicable,2025-12-20T18:58:52.616000Z,,,,,,20,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6947030074f85f60a2553d3f,67a796cd3ddc2ecc4a26fa35,TIMED-OUT,Not Applicable,2025-12-20T20:12:04.093000Z,,,,253860.0,,1927,36,Female,White,United States,United States,United States,English,No,Full-Time
694725ede0178ec882d3c45f,6941fac7d3ac0b304fd5e471,RETURNED,Not Applicable,,,,,,,21,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
